IdealFile	NumberOfCities	NumberOfUniqueSolutions	SampleRate	NumberOfDiscoveredSolutions	FracOfSolutionsDiscovered
smooth-psmap-tsp-10-R-instance1.ser	10	19	8.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	9.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0010	7	0.3684210526315789
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0020	10	0.5263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0030	11	0.5789473684210527
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0040	11	0.5789473684210527
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0050	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0060	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0070	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0080	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0090	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.01	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.02	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.03	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.04	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.05	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.06	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.07	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.08	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.09	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.1	19	1.0
smooth-psmap-tsp-10-R-instance1.ser	10	19	1.0E-4	1	0.05263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	2.0E-4	2	0.10526315789473684
smooth-psmap-tsp-10-R-instance1.ser	10	19	3.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	4.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	5.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance1.ser	10	19	6.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance1.ser	10	19	7.0E-4	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance1.ser	10	19	8.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	9.0E-4	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0010	7	0.3684210526315789
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0020	8	0.42105263157894735
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0030	9	0.47368421052631576
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0040	10	0.5263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0050	12	0.631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0060	12	0.631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0070	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0080	16	0.8421052631578947
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0090	16	0.8421052631578947
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.01	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.02	16	0.8421052631578947
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.03	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.04	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.05	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.06	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.07	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.08	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.09	19	1.0
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.1	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	1.0E-4	1	0.05263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	2.0E-4	2	0.10526315789473684
smooth-psmap-tsp-10-R-instance1.ser	10	19	3.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	4.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance1.ser	10	19	5.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance1.ser	10	19	6.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	7.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance1.ser	10	19	8.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	9.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0010	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0020	10	0.5263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0030	10	0.5263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0040	11	0.5789473684210527
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0050	12	0.631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0060	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0070	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0080	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0090	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.01	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.02	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.03	16	0.8421052631578947
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.04	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.05	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.06	19	1.0
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.07	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.08	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.09	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.1	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	1.0E-4	1	0.05263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	2.0E-4	2	0.10526315789473684
smooth-psmap-tsp-10-R-instance1.ser	10	19	3.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	4.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	5.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	6.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	7.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	8.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	9.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0010	7	0.3684210526315789
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0020	8	0.42105263157894735
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0030	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0040	11	0.5789473684210527
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0050	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0060	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0070	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0080	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0090	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.01	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.02	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.03	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.04	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.05	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.06	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.07	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.08	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.09	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.1	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	1.0E-4	1	0.05263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	2.0E-4	1	0.05263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	3.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	4.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	5.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	6.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	7.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance1.ser	10	19	8.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	9.0E-4	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0010	7	0.3684210526315789
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0020	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0030	11	0.5789473684210527
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0040	10	0.5263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0050	12	0.631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0060	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0070	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0080	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0090	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.01	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.02	16	0.8421052631578947
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.03	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.04	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.05	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.06	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.07	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.08	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.09	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.1	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	1.0E-4	1	0.05263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	2.0E-4	2	0.10526315789473684
smooth-psmap-tsp-10-R-instance1.ser	10	19	3.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	4.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	5.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance1.ser	10	19	6.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	7.0E-4	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance1.ser	10	19	8.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance1.ser	10	19	9.0E-4	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0010	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0020	9	0.47368421052631576
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0030	9	0.47368421052631576
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0040	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0050	11	0.5789473684210527
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0060	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0070	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0080	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0090	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.01	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.02	16	0.8421052631578947
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.03	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.04	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.05	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.06	19	1.0
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.07	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.08	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.09	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.1	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	1.0E-4	1	0.05263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	2.0E-4	2	0.10526315789473684
smooth-psmap-tsp-10-R-instance1.ser	10	19	3.0E-4	2	0.10526315789473684
smooth-psmap-tsp-10-R-instance1.ser	10	19	4.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	5.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	6.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	7.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance1.ser	10	19	8.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	9.0E-4	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0010	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0020	8	0.42105263157894735
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0030	11	0.5789473684210527
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0040	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0050	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0060	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0070	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0080	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0090	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.01	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.02	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.03	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.04	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.05	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.06	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.07	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.08	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.09	19	1.0
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.1	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	1.0E-4	1	0.05263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	2.0E-4	2	0.10526315789473684
smooth-psmap-tsp-10-R-instance1.ser	10	19	3.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	4.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance1.ser	10	19	5.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance1.ser	10	19	6.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance1.ser	10	19	7.0E-4	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance1.ser	10	19	8.0E-4	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance1.ser	10	19	9.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0010	7	0.3684210526315789
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0020	10	0.5263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0030	11	0.5789473684210527
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0040	12	0.631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0050	12	0.631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0060	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0070	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0080	12	0.631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0090	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.01	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.02	16	0.8421052631578947
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.03	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.04	16	0.8421052631578947
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.05	16	0.8421052631578947
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.06	16	0.8421052631578947
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.07	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.08	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.09	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.1	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	1.0E-4	1	0.05263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	2.0E-4	2	0.10526315789473684
smooth-psmap-tsp-10-R-instance1.ser	10	19	3.0E-4	2	0.10526315789473684
smooth-psmap-tsp-10-R-instance1.ser	10	19	4.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance1.ser	10	19	5.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	6.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	7.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	8.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	9.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0010	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0020	7	0.3684210526315789
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0030	10	0.5263157894736842
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0040	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0050	12	0.631578947368421
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0060	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0070	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0080	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.0090	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.01	16	0.8421052631578947
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.02	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.03	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.04	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.05	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.06	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.07	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.08	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.09	19	1.0
smooth-psmap-tsp-10-R-instance1.ser	10	19	0.1	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance2.ser	10	19	1.0E-4	1	0.05263157894736842
smooth-psmap-tsp-10-R-instance2.ser	10	19	2.0E-4	2	0.10526315789473684
smooth-psmap-tsp-10-R-instance2.ser	10	19	3.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance2.ser	10	19	4.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance2.ser	10	19	5.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance2.ser	10	19	6.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance2.ser	10	19	7.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance2.ser	10	19	8.0E-4	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance2.ser	10	19	9.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0010	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0020	9	0.47368421052631576
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0030	10	0.5263157894736842
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0040	10	0.5263157894736842
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0050	11	0.5789473684210527
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0060	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0070	12	0.631578947368421
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0080	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0090	12	0.631578947368421
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.01	16	0.8421052631578947
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.02	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.03	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.04	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.05	19	1.0
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.06	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.07	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.08	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.09	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.1	19	1.0
smooth-psmap-tsp-10-R-instance2.ser	10	19	1.0E-4	1	0.05263157894736842
smooth-psmap-tsp-10-R-instance2.ser	10	19	2.0E-4	2	0.10526315789473684
smooth-psmap-tsp-10-R-instance2.ser	10	19	3.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance2.ser	10	19	4.0E-4	2	0.10526315789473684
smooth-psmap-tsp-10-R-instance2.ser	10	19	5.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance2.ser	10	19	6.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance2.ser	10	19	7.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance2.ser	10	19	8.0E-4	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance2.ser	10	19	9.0E-4	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0010	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0020	11	0.5789473684210527
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0030	9	0.47368421052631576
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0040	7	0.3684210526315789
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0050	13	0.6842105263157895
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0060	12	0.631578947368421
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0070	11	0.5789473684210527
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0080	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0090	15	0.7894736842105263
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.01	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.02	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.03	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.04	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.05	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.06	19	1.0
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.07	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.08	19	1.0
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.09	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.1	19	1.0
smooth-psmap-tsp-10-R-instance2.ser	10	19	1.0E-4	1	0.05263157894736842
smooth-psmap-tsp-10-R-instance2.ser	10	19	2.0E-4	2	0.10526315789473684
smooth-psmap-tsp-10-R-instance2.ser	10	19	3.0E-4	3	0.15789473684210525
smooth-psmap-tsp-10-R-instance2.ser	10	19	4.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance2.ser	10	19	5.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance2.ser	10	19	6.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance2.ser	10	19	7.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance2.ser	10	19	8.0E-4	4	0.21052631578947367
smooth-psmap-tsp-10-R-instance2.ser	10	19	9.0E-4	5	0.2631578947368421
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0010	6	0.3157894736842105
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0020	7	0.3684210526315789
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0030	9	0.47368421052631576
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0040	11	0.5789473684210527
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0050	12	0.631578947368421
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0060	11	0.5789473684210527
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0070	12	0.631578947368421
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0080	16	0.8421052631578947
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.0090	14	0.7368421052631579
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.01	16	0.8421052631578947
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.02	17	0.8947368421052632
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.03	18	0.9473684210526315
smooth-psmap-tsp-10-R-instance2.ser	10	19	0.04	17	0.8947368421052632
